Date,NSE_NO_OF_TRADE,BSE_No_of_Trades
2024-08-30,44600320.0,69055890.0
2024-09-02,81413314.0,42947603.0
2024-09-03,149703273.0,895029.0
2024-09-04,140499376.0,1794311.0
2024-09-05,102922785.0,3774385.0
2024-09-06,72722373.0,91125271.0
2024-09-09,93363034.0,48293977.0
2024-09-10,151339245.0,1852294.0
2024-09-11,164583626.0,2861195.0
2024-09-12,170562407.0,9677232.0
2024-09-13,50998717.0,84650228.0
2024-09-16,85593397.0,29156168.0
2024-09-17,105441640.0,880518.0
2024-09-18,165716428.0,1821439.0
2024-09-19,149319656.0,7284252.0
2024-09-20,88507375.0,115872838.0
2024-09-23,96259277.0,39284711.0
2024-09-24,132158261.0,1254210.0
2024-09-25,128299087.0,1744395.0
2024-09-26,111930366.0,6452935.0
2024-09-27,53493851.0,77528284.0
2024-09-30,131526326.0,38228802.0
2024-10-01,194054875.0,2067594.0
2024-10-02,,
2024-10-03,162849160.0,7915147.0
2024-10-04,84314549.0,114902272.0
2024-10-07,150933080.0,59347213.0
2024-10-08,152923652.0,1736275.0
2024-10-09,173645696.0,2643583.0
2024-10-10,118001049.0,5438350.0
2024-10-11,48038413.0,61986450.0
2024-10-14,86243516.0,25653585.0
2024-10-15,126934817.0,1497983.0
2024-10-16,128410252.0,2850176.0
2024-10-17,111826561.0,5150926.0
2024-10-18,62318880.0,71749700.0
2024-10-21,131970072.0,32468837.0
2024-10-22,168490854.0,2263435.0
2024-10-23,146103830.0,3197863.0
2024-10-24,101933471.0,4726698.0
2024-10-25,72040920.0,77540299.0
2024-10-28,94962729.0,41630286.0
2024-10-29,155800845.0,3032746.0
2024-10-30,149224334.0,4124809.0
2024-10-31,95196367.0,44915948.0
2024-11-01,9386409.0,1136048.0
2024-11-04,74333189.0,32943063.0
2024-11-05,157467448.0,1580862.0
2024-11-06,149577441.0,3115597.0
2024-11-07,114815138.0,5390863.0
2024-11-08,55840004.0,70060239.0
2024-11-11,89072362.0,40743252.0
2024-11-12,159149521.0,2948131.0
2024-11-13,183058425.0,5218328.0
