fetch_time,metric_type,epoch_timestamp,timestamp_readable,value
25/02/2026 17:45:58,stocks_assets,1772021759855,25/02/2026 17:45:59,132780176073274
25/02/2026 17:45:58,stocks_assets,1772021760855,25/02/2026 17:46:00,132780176073274
25/02/2026 17:45:58,stocks_assets,1772021761855,25/02/2026 17:46:01,132780176073274
25/02/2026 17:45:58,stocks_assets,1772021762855,25/02/2026 17:46:02,132780176073274
25/02/2026 17:45:58,stocks_assets,1772021763855,25/02/2026 17:46:03,132780176073274
25/02/2026 17:45:58,stocks_assets,1772021764855,25/02/2026 17:46:04,132780176073274
25/02/2026 17:45:58,stocks_assets,1772021765855,25/02/2026 17:46:05,132780176073274
25/02/2026 17:45:58,stocks_assets,1772021766855,25/02/2026 17:46:06,132780176073274
25/02/2026 17:46:11,CNTU,1772021771540,25/02/2026 17:46:11,21288909
25/02/2026 17:46:11,CNTU,1772021772540,25/02/2026 17:46:12,21288909
25/02/2026 17:46:11,CNTU,1772021773540,25/02/2026 17:46:13,21288909
25/02/2026 17:46:11,CNTU,1772021774540,25/02/2026 17:46:14,21288909
25/02/2026 17:46:11,CNTU,1772021775540,25/02/2026 17:46:15,21288909
25/02/2026 17:46:11,CNTU,1772021776540,25/02/2026 17:46:16,21288909
25/02/2026 17:46:11,CNTU,1772021777540,25/02/2026 17:46:17,21288909
25/02/2026 17:46:11,CNTU,1772021778540,25/02/2026 17:46:18,21288910
25/02/2026 17:46:11,CNTU,1772021779540,25/02/2026 17:46:19,21288910
25/02/2026 17:46:11,CNTU,1772021780540,25/02/2026 17:46:20,21288910
25/02/2026 17:46:11,AUM,1772021771540,25/02/2026 17:46:11,310898819882925
25/02/2026 17:46:11,AUM,1772021772540,25/02/2026 17:46:12,310898828874676
25/02/2026 17:46:11,AUM,1772021773540,25/02/2026 17:46:13,310898837866426
25/02/2026 17:46:11,AUM,1772021774540,25/02/2026 17:46:14,310898846858177
25/02/2026 17:46:11,AUM,1772021775540,25/02/2026 17:46:15,310898855849928
25/02/2026 17:46:11,AUM,1772021776540,25/02/2026 17:46:16,310898864841679
25/02/2026 17:46:11,AUM,1772021777540,25/02/2026 17:46:17,310898873833430
25/02/2026 17:46:11,AUM,1772021778540,25/02/2026 17:46:18,310898882825181
25/02/2026 17:46:11,AUM,1772021779540,25/02/2026 17:46:19,310898891816931
25/02/2026 17:46:11,AUM,1772021780540,25/02/2026 17:46:20,310898900808682
25/02/2026 17:46:11,mf_assets,1772021771540,25/02/2026 17:46:11,167863010918495
25/02/2026 17:46:11,mf_assets,1772021772540,25/02/2026 17:46:12,167863019906199
25/02/2026 17:46:11,mf_assets,1772021773540,25/02/2026 17:46:13,167863028893903
25/02/2026 17:46:11,mf_assets,1772021774540,25/02/2026 17:46:14,167863037881607
25/02/2026 17:46:11,mf_assets,1772021775540,25/02/2026 17:46:15,167863046869311
25/02/2026 17:46:11,mf_assets,1772021776540,25/02/2026 17:46:16,167863055857015
25/02/2026 17:46:11,mf_assets,1772021777540,25/02/2026 17:46:17,167863064844719
25/02/2026 17:46:11,mf_assets,1772021778540,25/02/2026 17:46:18,167863073832423
25/02/2026 17:46:11,mf_assets,1772021779540,25/02/2026 17:46:19,167863082820127
25/02/2026 17:46:11,mf_assets,1772021780540,25/02/2026 17:46:20,167863091807831
25/02/2026 17:46:11,mf_sip_inflows,1772021771540,25/02/2026 17:46:11,8150764255474
25/02/2026 17:46:11,mf_sip_inflows,1772021772540,25/02/2026 17:46:12,8150767439234
25/02/2026 17:46:11,mf_sip_inflows,1772021773540,25/02/2026 17:46:13,8150770622993
25/02/2026 17:46:11,mf_sip_inflows,1772021774540,25/02/2026 17:46:14,8150773806753
25/02/2026 17:46:11,mf_sip_inflows,1772021775540,25/02/2026 17:46:15,8150776990513
25/02/2026 17:46:11,mf_sip_inflows,1772021776540,25/02/2026 17:46:16,8150780174272
25/02/2026 17:46:11,mf_sip_inflows,1772021777540,25/02/2026 17:46:17,8150783358032
25/02/2026 17:46:11,mf_sip_inflows,1772021778540,25/02/2026 17:46:18,8150786541792
25/02/2026 17:46:11,mf_sip_inflows,1772021779540,25/02/2026 17:46:19,8150789725551
25/02/2026 17:46:11,mf_sip_inflows,1772021780540,25/02/2026 17:46:20,8150792909311
25/02/2026 17:46:11,equity_adto,1772021771540,25/02/2026 17:46:11,603943621464557
25/02/2026 17:46:11,equity_adto,1772021772540,25/02/2026 17:46:12,603943621464557
25/02/2026 17:46:11,equity_adto,1772021773540,25/02/2026 17:46:13,603943621464557
25/02/2026 17:46:11,equity_adto,1772021774540,25/02/2026 17:46:14,603943621464557
25/02/2026 17:46:11,equity_adto,1772021775540,25/02/2026 17:46:15,603943621464557
25/02/2026 17:46:11,equity_adto,1772021776540,25/02/2026 17:46:16,603943621464557
25/02/2026 17:46:11,equity_adto,1772021777540,25/02/2026 17:46:17,603943621464557
25/02/2026 17:46:11,equity_adto,1772021778540,25/02/2026 17:46:18,603943621464557
25/02/2026 17:46:11,equity_adto,1772021779540,25/02/2026 17:46:19,603943621464557
25/02/2026 17:46:11,equity_adto,1772021780540,25/02/2026 17:46:20,603943621464557
25/02/2026 17:46:11,stocks_adto,1772021771540,25/02/2026 17:46:11,541335439293824
25/02/2026 17:46:11,stocks_adto,1772021772540,25/02/2026 17:46:12,541335440460072
25/02/2026 17:46:11,stocks_adto,1772021773540,25/02/2026 17:46:13,541335441626320
25/02/2026 17:46:11,stocks_adto,1772021774540,25/02/2026 17:46:14,541335442792568
25/02/2026 17:46:11,stocks_adto,1772021775540,25/02/2026 17:46:15,541335443958817
25/02/2026 17:46:11,stocks_adto,1772021776540,25/02/2026 17:46:16,541335445125065
25/02/2026 17:46:11,stocks_adto,1772021777540,25/02/2026 17:46:17,541335446291313
25/02/2026 17:46:11,stocks_adto,1772021778540,25/02/2026 17:46:18,541335447457561
25/02/2026 17:46:11,stocks_adto,1772021779540,25/02/2026 17:46:19,541335448623810
25/02/2026 17:46:11,stocks_adto,1772021780540,25/02/2026 17:46:20,541335449790058
25/02/2026 17:46:11,stocks_assets,1772021771540,25/02/2026 17:46:11,132780176073274
25/02/2026 17:46:11,stocks_assets,1772021772540,25/02/2026 17:46:12,132780176073274
25/02/2026 17:46:11,stocks_assets,1772021773540,25/02/2026 17:46:13,132780176073274
25/02/2026 17:46:11,stocks_assets,1772021774540,25/02/2026 17:46:14,132780176073274
25/02/2026 17:46:11,stocks_assets,1772021775540,25/02/2026 17:46:15,132780176073274
25/02/2026 17:46:11,stocks_assets,1772021776540,25/02/2026 17:46:16,132780176073274
25/02/2026 17:46:11,stocks_assets,1772021777540,25/02/2026 17:46:17,132780176073274
25/02/2026 17:46:11,stocks_assets,1772021778540,25/02/2026 17:46:18,132780176073274
25/02/2026 17:46:11,stocks_assets,1772021779540,25/02/2026 17:46:19,132780176073274
25/02/2026 17:46:11,stocks_assets,1772021780540,25/02/2026 17:46:20,132780176073274
25/02/2026 18:36:00,CNTU,1772024760550,25/02/2026 18:36:00,21289150
25/02/2026 18:36:00,CNTU,1772024761550,25/02/2026 18:36:01,21289150
25/02/2026 18:36:00,CNTU,1772024762550,25/02/2026 18:36:02,21289150
25/02/2026 18:36:00,CNTU,1772024763550,25/02/2026 18:36:03,21289150
25/02/2026 18:36:00,CNTU,1772024764550,25/02/2026 18:36:04,21289150
25/02/2026 18:36:00,CNTU,1772024765550,25/02/2026 18:36:05,21289150
25/02/2026 18:36:00,CNTU,1772024766550,25/02/2026 18:36:06,21289150
25/02/2026 18:36:00,CNTU,1772024767550,25/02/2026 18:36:07,21289150
