Timestamp,Date,Time,Total Transacting Users,Total Customer Assets,Equity Derivatives Premium Turnover
2026-02-24T13:06:55.180859,2026-02-24,13:06:55,Investors' HomePerformanceAnnouncementsGovernanceS,Investors' HomePerformanceAnnouncementsGovernanceS,Investors' HomePerformanceAnnouncementsGovernanceS
2026-02-24T13:16:09.787883,2026-02-24 13:16:09,,"window.webengage.init(""in~76aa392"");",,
